X,Y,code,nom
3.3014071500959,46.154609735526,03252,Saint-Pont
6.02863973012027,44.7380297647679,05039,Aubessagne
0.477568204515645,45.5540444427436,16203,Mainzac
0.502692249776134,45.5889906988065,16372,Souffrignac
0.754279180088697,45.2765844302043,24002,Agonac
0.839217810122215,45.2267296988686,24011,Antonne-et-Trigonant
0.86739478790922,45.1583204626816,24026,Bassillac et Auberoche
0.722265378022464,45.2191199116014,24098,Champcevinel
0.657351007666998,45.2108247390815,24102,Chancelade
0.617906810497829,45.2304741241465,24108,Chapelle-Gonaguet
0.693358339444946,45.2556310572129,24115,Château-l'Évêque
0.775423346514932,45.2439601065001,24135,Cornille
0.691919609690951,45.1713153831329,24138,Coulounieix-Chamiers
0.645894702336884,45.1307308706513,24139,Coursac
1.19478791197123,45.1157648721529,24175,Farges
0.646691452363473,45.046230959402,24208,Grun-Bordas
0.647455459205072,45.1815842027742,24256,Marsac-sur-l'Isle
1.0129231181497,44.6719145117661,24263,Mazeyrolles
0.790357652549151,45.1078597992041,24312,Sanilhac
1.06062705881504,44.7118400050582,24313,Orliac
1.07957865434766,44.983094077889,24326,Peyzac-le-Moustier
1.03365537753681,45.0481154084618,24330,Plazac
1.0678772684065,44.6823340967057,24337,Prats-du-Périgord
0.503653283730684,45.0367447025726,24426,Saint-Jean-d'Estissac
0.527237681201777,44.9488898553123,24431,Saint-Julien-de-Crempse
1.08602502333631,45.0206354634054,24443,Saint-Léon-sur-Vézère
0.845615016121935,45.2925651477719,24540,Sorges et Ligueux en Périgord
0.780777917645104,45.2122402962742,24557,Trélissac
0.997805713263168,48.9473751049624,27447,Val-Doré
1.07932514371736,43.536354060912,31166,Empeaux
1.48932393233273,46.5745356445569,36006,Argenton-sur-Creuse
1.56245986666543,46.4854208754495,36012,Baraize
1.52652695115838,46.4876554257149,36014,Bazaiges
1.55869163937601,46.5307804170063,36032,Ceaulmont
1.51033719189469,46.5303497238274,36033,Celon
1.49892603676018,46.657950580732,36042,Chasseneuil
1.61194204659574,46.5656901722404,36048,Chavin
1.61482301031925,46.4654450504103,36062,Cuzion
1.35470048913905,47.080380606934,36069,Écueillé
1.39089699222611,47.1716452762201,36072,Faverolles-en-Berry
1.53111104469568,47.2046107265035,36077,Fontguenand
1.47612879318688,47.0030045473292,36080,Frédille
1.6136365402537,46.505334583304,36081,Gargilesse-Dampierre
1.49895840586709,47.0381941879808,36082,Gehée
1.38856124552684,47.028125184183,36086,Heugnes
1.44171123546598,47.046974007588,36090,Jeu-Maloches
1.50905886865443,47.0742704771453,36092,Langé
1.42183113595178,47.117259364746,36103,Luçay-le-Mâle
1.4694614148973,47.2199154656334,36107,Lye
1.57302955226891,46.5576057239549,36117,Menoux
1.63019237136996,46.622765186374,36131,Mosnay
1.56570807022553,46.5832252780122,36154,Pêchereau
1.41751221137272,46.9881945204882,36155,Pellevoisin
1.6063262351286,46.5315043859885,36158,Badecon-le-Pin
1.65828621082537,46.5183097171875,36160,Pommiers
1.4968582214164,46.6298910016735,36161,Pont-Chrétien-Chabenet
1.30285970130257,47.0297254265086,36166,Préaux
1.43023659326665,46.6483746309358,36192,Saint-Gaultier
1.51908032914025,46.6111959130012,36200,Saint-Marcel
1.45489369737665,47.0182304075465,36216,Selles-sur-Nahon
1.57387793124908,46.6529049664193,36219,Tendu
1.55086713183521,47.1554348286566,36228,Valençay
1.56315245554614,47.2426052248463,36233,Vernelle
1.49809112849929,47.1363540534778,36235,Veuil
1.54669235150899,47.0983598501896,36237,Vicq-sur-Nahon
1.3551744099152,46.9736051428058,36243,Villegouin
1.46853778128944,47.1869455358062,36244,Villentrois
1.00026523723675,47.3955446342752,37003,Amboise
0.116066646789231,47.2435396418027,37074,Chouzé-sur-Loire
0.921437011393131,47.3897494523996,37138,Lussault-sur-Loire
1.08528133429889,47.3995705150668,37252,Souvigny-de-Touraine
1.23815243208898,47.314125269093,41002,Angé
1.3031465584746,47.6877744989694,41009,Averdon
1.25833360305053,47.7187099272315,41035,Champigny-en-Beauce
1.35688974055864,47.2190546294392,41042,Châteauvieux
1.48617286296059,47.2886597783751,41043,Châtillon-sur-Cher
1.48459852787719,47.3595602869982,41049,Chémery
1.14120029423583,47.3573992190462,41051,Chissay-en-Touraine
1.35011000131888,47.3634700954306,41054,Choussy
1.40479283714652,47.3638243166301,41062,Couddes
1.43694788342237,47.2491455868323,41063,Couffy
1.17935146135623,47.3133298007736,41080,Faverolles-sur-Cher
1.59366080479731,47.3452507870992,41099,Gy-en-Sologne
1.63465752025808,47.3676998124966,41112,Lassay-sur-Croisne
1.30966939038327,47.2740802140637,41126,Mareuil-sur-Cher
1.45009886154631,47.3309356846212,41132,Méhers
1.49893827560613,47.2413900452974,41139,Meusnes
1.28950946724043,47.352975634729,41146,Monthou-sur-Cher
1.18782841059678,47.3595303042721,41151,Montrichard Val de Cher
1.40439104187368,47.2832999730243,41164,Noyers-sur-Cher
1.37884213183428,47.3953190130135,41166,Oisly
1.23170968420159,47.4021755368067,41180,Pontlevoy
1.28248269913212,47.3054244895968,41181,Pouillé
1.5438580512085,47.3602596348791,41195,Rougeou
1.33152905733968,47.2496741795228,41198,Saint-Aignan
1.13450464679379,47.3020142775568,41211,Saint-Georges-sur-Cher
1.20871363995185,47.3185804403677,41217,Saint-Julien-de-Chédon
1.39080106537245,47.3177254569349,41229,Saint-Romain-sur-Cher
1.44089361749854,47.392044813582,41237,Sassay
1.38997544596055,47.2557558045728,41239,Seigy
1.56317874781587,47.2777309916896,41242,Selles-sur-Cher
